Date,Close
1972-07-03,928.66
1972-07-05,933.47
1972-07-06,942.13
1972-07-07,938.06
1972-07-10,932.27
1972-07-11,925.87
1972-07-12,923.69
1972-07-13,916.99
1972-07-14,922.26
1972-07-17,914.96
1972-07-18,911.72
1972-07-19,916.69
1972-07-20,910.45
1972-07-21,920.45
1972-07-24,935.36
1972-07-25,934.45
1972-07-26,932.57
1972-07-27,926.85
1972-07-28,926.7
1972-07-31,924.74
1972-08-01,930.46
1972-08-02,941.15
1972-08-03,947.7
1972-08-04,951.76
1972-08-07,953.12
1972-08-08,952.44
1972-08-09,951.16
1972-08-10,952.89
1972-08-11,964.18
1972-08-14,973.51
1972-08-15,969.97
1972-08-16,964.25
1972-08-17,961.39
1972-08-18,965.83
1972-08-21,967.19
1972-08-22,973.51
1972-08-23,970.35
1972-08-24,958.38
1972-08-25,959.36
1972-08-28,956.95
1972-08-29,954.7
1972-08-30,957.86
1972-08-31,963.73
1972-09-01,970.05
1972-09-05,969.37
1972-09-06,963.43
1972-09-07,962.45
1972-09-08,961.24
1972-09-11,955.0
1972-09-12,946.04
1972-09-13,949.88
1972-09-14,947.55
1972-09-15,947.32
1972-09-18,945.36
1972-09-19,943.18
1972-09-20,940.25
1972-09-21,939.49
1972-09-22,943.03
1972-09-25,935.73
1972-09-26,936.56
1972-09-27,947.25
1972-09-28,955.15
1972-09-29,953.27
1972-10-02,953.27
1972-10-03,954.47
1972-10-04,951.31
1972-10-05,941.3
1972-10-06,945.36
1972-10-09,948.75
1972-10-10,951.84
1972-10-11,946.42
1972-10-12,937.46
1972-10-13,930.46
1972-10-16,921.66
1972-10-17,926.48
1972-10-18,932.34
1972-10-19,932.12
1972-10-20,942.81
1972-10-23,951.31
1972-10-24,952.51
1972-10-25,951.38
1972-10-26,950.56
1972-10-27,946.42
1972-10-30,946.42
1972-10-31,955.52
1972-11-01,968.54
1972-11-02,973.06
1972-11-03,984.12
1972-11-06,984.8
1972-11-08,983.74
1972-11-09,988.26
1972-11-10,995.26
1972-11-13,997.07
1972-11-14,1003.16
1972-11-15,998.42
1972-11-16,1003.69
1972-11-17,1005.57
1972-11-20,1005.04
1972-11-21,1013.25
1972-11-22,1020.54
1972-11-24,1025.21
1972-11-27,1017.76
1972-11-28,1019.34
1972-11-29,1018.81
1972-11-30,1018.21
1972-12-01,1023.93
1972-12-04,1027.02
1972-12-05,1022.95
1972-12-06,1027.54
1972-12-07,1033.26
1972-12-08,1033.19
1972-12-11,1036.27
1972-12-12,1033.19
1972-12-13,1030.48
1972-12-14,1025.06
1972-12-15,1027.24
1972-12-18,1013.25
1972-12-19,1009.18
1972-12-20,1004.82
1972-12-21,1000.0
1972-12-22,1004.21
1972-12-26,1006.7
1972-12-27,1007.68
1972-12-29,1020.02
1973-01-02,1031.68
1973-01-03,1043.8
1973-01-04,1039.81
1973-01-05,1047.49
1973-01-08,1047.86
1973-01-09,1047.11
1973-01-10,1046.06
1973-01-11,1051.7
1973-01-12,1039.36
1973-01-15,1025.59
1973-01-16,1024.31
1973-01-17,1029.12
1973-01-18,1029.12
1973-01-19,1026.19
1973-01-22,1018.81
1973-01-23,1018.66
1973-01-24,1004.59
1973-01-26,1003.54
1973-01-29,996.46
1973-01-30,992.92
1973-01-31,999.02
1973-02-01,985.78
1973-02-02,980.81
1973-02-05,978.4
1973-02-06,979.91
1973-02-07,968.32
1973-02-08,967.19
1973-02-09,979.46
1973-02-12,991.57
1973-02-13,996.76
1973-02-14,979.91
1973-02-15,973.13
1973-02-16,979.23
1973-02-20,983.59
1973-02-21,974.34
1973-02-22,971.78
1973-02-23,959.89
1973-02-26,953.79
1973-02-27,947.92
1973-02-28,955.07
1973-03-01,949.65
1973-03-02,961.32
1973-03-05,966.89
1973-03-06,979.0
1973-03-07,979.98
1973-03-08,976.44
1973-03-09,972.23
1973-03-12,969.75
1973-03-13,976.07
1973-03-14,978.85
1973-03-15,969.82
1973-03-16,963.05
1973-03-19,952.06
1973-03-20,949.43
1973-03-21,938.37
1973-03-22,925.2
1973-03-23,922.71
1973-03-26,927.9
1973-03-27,944.91
1973-03-28,948.0
1973-03-29,959.14
1973-03-30,951.01
1973-04-02,936.18
1973-04-03,927.75
1973-04-04,925.05
1973-04-05,923.46
1973-04-06,931.07
1973-04-09,947.55
1973-04-10,960.49
1973-04-11,967.41
1973-04-12,964.03
1973-04-13,959.36
1973-04-16,956.73
1973-04-17,953.42
1973-04-18,958.31
1973-04-19,963.2
1973-04-23,955.37
1973-04-24,940.77
1973-04-25,930.54
1973-04-26,937.76
1973-04-27,922.19
1973-04-30,921.43
1973-05-01,921.21
1973-05-02,932.34
1973-05-03,945.67
1973-05-04,953.87
1973-05-07,950.71
1973-05-08,956.58
1973-05-09,949.05
1973-05-10,939.34
1973-05-11,927.98
1973-05-14,909.69
1973-05-15,917.44
1973-05-16,917.14
1973-05-17,911.72
1973-05-18,895.17
1973-05-21,886.51
1973-05-22,892.46
1973-05-23,895.02
1973-05-24,924.44
1973-05-25,930.84
1973-05-29,925.57
1973-05-30,908.87
1973-05-31,901.41
1973-06-01,893.96
1973-06-04,885.91
1973-06-05,900.81
1973-06-06,898.18
1973-06-07,909.62
1973-06-08,920.0
1973-06-11,915.11
1973-06-12,927.0
1973-06-13,915.49
1973-06-14,902.92
1973-06-15,888.55
1973-06-18,875.08
1973-06-19,881.55
1973-06-20,884.71
1973-06-21,873.65
1973-06-22,879.82
1973-06-25,869.13
1973-06-26,879.44
1973-06-27,884.63
1973-06-28,894.64
1973-06-29,891.71
1973-07-02,880.57
1973-07-03,874.17
1973-07-05,874.32
1973-07-06,870.11
1973-07-09,877.26
1973-07-10,888.32
1973-07-11,908.19
1973-07-12,901.94
1973-07-13,885.99
1973-07-16,897.58
1973-07-17,898.03
1973-07-18,905.4
1973-07-19,906.68
1973-07-20,910.9
1973-07-23,913.15
1973-07-24,918.72
1973-07-25,933.02
1973-07-26,934.53
1973-07-27,936.71
1973-07-30,933.77
1973-07-31,926.4
1973-08-01,912.18
1973-08-02,910.14
1973-08-03,908.87
1973-08-06,912.78
1973-08-07,911.95
1973-08-08,902.02
1973-08-09,901.49
1973-08-10,892.38
1973-08-13,883.2
1973-08-14,870.71
1973-08-15,874.17
1973-08-16,872.74
1973-08-17,871.84
1973-08-20,867.4
1973-08-21,857.84
1973-08-22,851.9
1973-08-23,864.46
1973-08-24,863.49
1973-08-27,870.71
1973-08-28,872.07
1973-08-29,883.43
1973-08-30,882.53
1973-08-31,887.57
1973-09-04,895.39
1973-09-05,899.08
1973-09-06,901.04
1973-09-07,898.63
1973-09-10,891.33
1973-09-11,885.76
1973-09-12,881.32
1973-09-13,880.57
1973-09-14,886.36
1973-09-17,892.99
1973-09-18,891.26
1973-09-19,910.37
1973-09-20,920.53
1973-09-21,927.9
1973-09-24,936.71
1973-09-25,940.55
1973-09-26,949.5
1973-09-27,953.27
1973-09-28,947.1
1973-10-01,948.83
1973-10-02,956.8
1973-10-03,964.55
1973-10-04,955.9
1973-10-05,971.25
1973-10-08,977.65
1973-10-09,974.19
1973-10-10,960.57
1973-10-11,976.07
